,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
358,Jim Palmer,1960,1961,2,109,1770,300,729,,,124,184,,457,83,,,,287,724,.412,,.674,16.2,6.6,4.2,0.8,palmeji01
359,Charlie Paulk,1972,1972,1,28,151,16,60,,,8,12,,49,7,,,,24,40,.267,,.667,5.4,1.4,1.8,0.3,paulkch01
360,Elfrid Payton,2020,2021,2,108,2730,462,1062,42,167,122,193,116,428,526,117,26,199,205,1088,.435,.251,.632,25.3,10.1,4.0,4.9,paytoel01
361,Norvel Pelle,2021,2021,1,9,52,5,7,0,0,1,2,2,11,1,1,6,0,4,11,.714,,.500,5.8,1.2,1.2,0.1,pelleno01
362,Bob Peterson,1955,1956,2,95,1282,183,472,,,98,149,,377,75,,,,203,464,.388,,.658,13.5,4.9,4.0,0.8,peterbo01
363,Theo Pinson,2021,2021,1,17,34,1,9,0,8,0,0,0,5,1,0,0,1,4,2,.111,.000,,2.0,0.1,0.3,0.1,pinsoth01
364,Marshall Plumlee,2017,2017,1,21,170,16,30,0,0,8,19,23,51,10,4,4,12,23,40,.533,,.421,8.1,1.9,2.4,0.5,plumlma02
365,Ralph Polson,1953,1953,1,3,37,3,9,,,4,6,,8,2,,,,8,10,.333,,.667,12.3,3.3,2.7,0.7,polsora01
366,Howard Porter,1975,1975,1,17,133,13,36,,,7,9,13,38,2,3,1,,17,33,.361,,.778,7.8,1.9,2.2,0.1,porteho01
367,Bobby Portis,2020,2020,1,66,1393,265,589,67,187,71,93,80,338,98,32,18,73,110,668,.450,.358,.763,21.1,10.1,5.1,1.5,portibo01
368,Kristaps Porziņģis,2016,2018,3,186,5764,1206,2760,283,785,617,767,305,1317,248,136,378,332,590,3312,.437,.361,.804,31.0,17.8,7.1,1.3,porzikr01
369,Lavor Postell,2001,2003,3,61,446,59,176,11,44,66,83,11,45,13,12,2,35,28,195,.335,.250,.795,7.3,3.2,0.7,0.2,postela01
370,Mike Price,1971,1972,2,62,291,35,95,,,33,45,,35,18,,,,67,103,.368,,.733,4.7,1.7,0.6,0.3,pricemi01
371,Pablo Prigioni,2013,2015,3,187,3341,256,572,161,389,55,63,95,352,568,188,5,193,312,728,.448,.414,.873,17.9,3.9,1.9,3.0,prigipa01
372,Immanuel Quickley,2021,2023,3,223,5389,932,2240,423,1153,535,623,114,721,681,164,29,257,447,2822,.416,.367,.859,24.2,12.7,3.2,3.1,quickim01
373,Brian Quinnett,1990,1992,3,123,1394,186,434,25,71,36,53,83,197,71,32,23,64,148,433,.429,.352,.679,11.3,3.5,1.6,0.6,quinnbr01
374,Luther Rackley,1972,1973,2,63,620,92,215,,,49,84,,188,18,,,,106,233,.428,,.583,9.8,3.7,3.0,0.3,rackllu01
375,Sherwin Raiken,1953,1953,1,6,63,3,21,,,3,8,,8,6,,,,10,9,.143,,.375,10.5,1.5,1.3,1.0,raikesh01
376,Cal Ramsey,1960,1960,1,7,160,32,77,,,16,29,,47,9,,,,21,80,.416,,.552,22.9,11.4,6.7,1.3,ramseca01
377,Chasson Randle,2017,2017,1,18,225,28,72,10,32,29,31,6,27,28,6,1,16,28,95,.389,.313,.935,12.5,5.3,1.5,1.6,randlch01
378,Julius Randle,2020,2023,4,284,10028,2235,5005,562,1646,1311,1713,501,2828,1311,217,100,895,841,6343,.447,.341,.765,35.3,22.3,10.0,4.6,randlju01
379,Anthony Randolph,2011,2011,1,17,127,14,45,1,4,6,12,11,40,7,4,8,10,15,35,.311,.250,.500,7.5,2.1,2.4,0.4,randoan01
380,Zach Randolph,2008,2009,2,80,2632,568,1247,29,104,278,356,224,847,155,72,19,209,222,1443,.455,.279,.781,32.9,18.0,10.6,1.9,randoza01
381,Andy Rautins,2011,2011,1,5,24,3,7,1,4,1,2,0,1,3,1,0,7,0,8,.429,.250,.500,4.8,1.6,0.2,0.6,rautian01
382,Cam Reddish,2022,2023,2,35,653,88,201,25,87,58,65,12,52,30,27,12,28,47,259,.438,.287,.892,18.7,7.4,1.5,0.9,reddica01
383,Willis Reed,1965,1974,10,650,23073,4859,10202,,,2465,3298,47,8414,1186,12,21,,2411,12183,.476,,.747,35.5,18.7,12.9,1.8,reedwi01
384,J.R. Reid,1996,1996,1,33,670,88,160,0,0,43,55,38,132,28,18,7,30,89,219,.550,,.782,20.3,6.6,4.0,0.8,reidjr01
385,Glen Rice,2001,2001,1,75,2212,331,752,82,211,155,182,61,307,89,41,13,96,179,899,.440,.389,.852,29.5,12.0,4.1,1.2,ricegl01
386,Micheal Ray Richardson,1979,1982,4,315,10497,1844,4005,69,313,728,1107,579,1882,2244,810,129,1093,1023,4485,.460,,.658,33.3,14.2,6.0,7.1,richami01
387,Quentin Richardson,2006,2013,5,242,6827,853,2237,351,993,295,418,262,1226,430,166,35,271,553,2352,.381,.353,.706,28.2,9.7,5.1,1.8,richaqu01
388,Tom Riker,1973,1975,3,82,605,76,200,,,73,123,49,138,24,15,5,,85,225,.380,,.593,7.4,2.7,1.7,0.3,rikerto01
389,Mike Riordan,1969,1972,4,221,3427,470,1092,,,209,316,,421,370,,,,438,1149,.430,,.661,15.5,5.2,1.9,1.7,riordmi01
390,Tex Ritter,1949,1951,3,151,,262,753,,,265,393,,65,145,,,,224,789,.348,,.674,,5.2,1.9,1.0,rittete01
391,Austin Rivers,2021,2021,1,21,442,58,135,28,77,10,14,5,47,42,12,0,22,32,154,.430,.364,.714,21.0,7.3,2.2,2.0,riverau01
392,Doc Rivers,1993,1995,3,99,2432,275,634,61,180,155,195,32,240,513,152,14,147,267,766,.434,.339,.795,24.6,7.7,2.4,5.2,riverdo01
393,Anthony Roberson,2009,2009,1,23,253,39,103,24,71,5,5,4,15,19,10,1,7,18,107,.379,.338,1.000,11.0,4.7,0.7,0.8,roberan02
394,Larry Robinson,2002,2002,1,2,10,1,4,1,2,0,0,0,2,0,0,0,0,1,3,.250,.500,,5.0,1.5,1.0,0.0,robinla01
395,Mitchell Robinson,2019,2023,5,289,7064,1019,1431,0,0,338,639,1038,2275,181,253,567,199,852,2376,.712,,.529,24.4,8.2,7.9,0.6,robinmi01
396,Nate Robinson,2006,2010,5,312,7725,1389,3234,414,1172,705,887,283,903,862,291,19,481,819,3897,.429,.353,.795,24.8,12.5,2.9,2.8,robinna01
397,Truck Robinson,1983,1985,3,148,4596,612,1292,0,0,251,409,376,1211,242,102,54,355,461,1475,.474,,.614,31.1,10.0,8.2,1.6,robintr01
398,Sergio Rodríguez,2010,2010,1,27,531,79,161,17,49,25,31,9,39,91,21,2,55,38,200,.491,.347,.806,19.7,7.4,1.4,3.4,rodrise01
399,Phil Rollins,1961,1961,1,40,659,90,241,,,53,77,,85,101,,,,94,233,.373,,.688,16.5,5.8,2.1,2.5,rolliph01
400,Derrick Rose,2017,2023,4,152,3993,851,1837,106,305,330,373,109,465,578,104,49,257,156,2138,.463,.348,.885,26.3,14.1,3.1,3.8,rosede01
