,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
95,Len Elmore,1975,1979,5,308,6642,986,2461,1,4,372,514,651,2051,314,339,423,404,919,2345,.401,,.724,21.6,7.6,6.7,1.0,elmorle01
96,Darrell Elston,1977,1977,1,5,40,2,14,,,1,2,1,6,2,1,0,,6,5,.143,,.500,8.0,1.0,1.2,0.4,elstoda01
97,Alex English,1979,1980,2,135,4222,909,1788,0,3,287,370,420,1035,413,115,111,320,342,2105,.508,,.776,31.3,15.6,7.7,3.1,englial01
98,Tyreke Evans,2019,2019,1,69,1402,257,660,77,216,115,160,33,201,166,58,18,118,117,706,.389,.356,.719,20.3,10.2,2.9,2.4,evansty01
99,John Fairchild,1969,1970,2,55,608,102,266,10,29,74,105,43,120,30,,,60,98,288,.383,.345,.705,11.1,5.2,2.2,0.5,faircjo01
100,Duane Ferrell,1995,1997,3,172,2313,322,676,19,58,164,236,139,322,127,87,15,132,282,827,.476,.328,.695,13.4,4.8,1.9,0.7,ferredu01
101,Kyrylo Fesenko,2012,2012,1,3,17,2,5,0,0,4,6,2,9,1,2,0,0,2,8,.400,,.667,5.7,2.7,3.0,0.3,fesenky01
102,Vern Fleming,1985,1995,11,816,22974,3737,7430,35,182,2026,2649,930,2842,4038,885,100,1673,1888,9535,.503,.192,.765,28.2,11.7,3.5,4.9,flemive01
103,Mike Flynn,1976,1978,3,211,3376,536,1279,25,99,220,350,186,437,454,142,25,156,270,1317,.419,,.629,16.0,6.2,2.1,2.2,flynnmi01
104,T.J. Ford,2009,2011,3,162,4220,690,1567,49,186,384,464,117,489,713,168,35,333,351,1813,.440,.263,.828,26.0,11.2,3.0,4.4,fordtj01
105,Jeff Foster,2000,2012,13,764,15750,1472,2961,7,54,796,1295,2101,5248,703,507,308,613,1921,3747,.497,.130,.615,20.6,4.9,6.9,0.9,fosteje01
106,Tremaine Fowlkes,2005,2005,1,8,56,9,17,1,3,0,2,3,8,0,2,0,5,7,19,.529,.333,.000,7.0,2.4,1.0,0.0,fowlktr01
107,Anthony Frederick,1989,1989,1,46,313,63,125,2,5,24,34,26,52,20,14,6,34,59,152,.504,.400,.706,6.8,3.3,1.1,0.4,fredean01
108,Donnie Freeman,1973,1974,2,143,3905,795,1772,2,8,454,565,194,387,360,48,22,292,399,2046,.449,.250,.804,27.3,14.3,2.7,2.5,freemdo01
109,Bill Garnett,1985,1986,2,145,2320,261,549,0,4,236,336,204,561,162,67,37,183,370,758,.475,.000,.702,16.0,5.2,3.9,1.1,garnebi02
110,Paul George,2011,2017,7,448,14692,2775,6418,897,2425,1643,1934,386,2816,1419,740,194,1141,1190,8090,.432,.370,.850,32.8,18.1,6.3,3.2,georgpa01
111,Eddie Gill,2005,2006,2,114,1143,91,287,43,140,89,104,16,127,95,70,6,69,118,314,.317,.307,.856,10.0,2.8,1.1,0.8,gilled01
112,Stephen Graham,2008,2009,2,74,812,140,314,27,80,62,78,25,118,42,14,5,55,96,369,.446,.338,.795,11.0,5.0,1.6,0.6,grahast01
113,Danny Granger,2006,2014,9,544,17680,3231,7426,964,2526,2145,2526,647,2780,1072,545,471,1064,1540,9571,.435,.382,.849,32.5,17.6,5.1,2.0,grangda01
114,Travis Grant,1976,1976,1,34,567,146,275,0,0,34,46,49,101,31,10,13,36,68,326,.531,,.739,16.7,9.6,3.0,0.9,granttr01
115,Stuart Gray,1985,1989,5,320,2860,292,647,0,2,195,297,267,865,129,49,106,217,549,779,.451,.000,.657,8.9,2.4,2.7,0.4,grayst01
116,Gerald Green,2013,2013,1,60,1080,155,424,59,188,52,65,31,141,50,19,23,53,64,421,.366,.314,.800,18.0,7.0,2.4,0.8,greenge01
