,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
69,Gorgui Dieng,2020,2021,2,39,689,98,195,31,80,69,85,46,196,44,31,31,38,73,296,.503,.388,.812,17.7,7.6,5.0,1.1,dienggo01
70,Keyon Dooling,2013,2013,1,7,82,10,21,5,12,6,7,0,1,8,1,0,5,8,31,.476,.417,.857,11.7,4.4,0.1,1.1,doolike01
71,Tyler Dorsey,2019,2019,1,21,447,75,175,34,93,22,35,18,70,39,7,1,17,33,206,.429,.366,.629,21.3,9.8,3.3,1.9,dorsety01
72,Toney Douglas,2017,2017,1,24,394,43,117,7,42,24,29,13,61,56,18,5,21,50,117,.368,.167,.828,16.4,4.9,2.5,2.3,douglto01
73,Blue Edwards,1996,1998,3,224,6180,909,2156,149,454,426,532,208,752,527,242,93,385,561,2393,.422,.328,.801,27.6,10.7,3.4,2.4,edwarbl01
74,Doug Edwards,1996,1996,1,31,519,32,91,0,4,29,38,35,87,39,10,18,29,51,93,.352,.000,.763,16.7,3.0,2.8,1.3,edwardo01
75,Kevin Edwards,2001,2001,1,46,634,56,170,5,19,43,53,23,82,52,29,8,37,46,160,.329,.263,.811,13.8,3.5,1.8,1.1,edwarke01
76,Obinna Ekezie,2000,2000,1,39,351,41,88,0,0,43,64,34,92,8,9,4,26,61,125,.466,,.672,9.0,3.2,2.4,0.2,ekeziob01
77,Wayne Ellington,2013,2013,1,40,676,81,199,41,97,15,16,5,52,42,16,1,24,38,218,.407,.423,.938,16.9,5.5,1.3,1.1,ellinwa01
78,Andre Emmett,2005,2005,1,8,28,2,6,0,0,3,5,0,2,0,0,0,1,4,7,.333,,.600,3.5,0.9,0.3,0.0,emmetan01
79,James Ennis III,2016,2018,3,119,2594,258,556,83,229,156,193,126,423,115,82,33,99,247,755,.464,.362,.808,21.8,6.3,3.6,1.0,ennisja01
80,Tyreke Evans,2018,2018,1,52,1607,366,809,114,286,164,209,44,265,269,57,17,117,96,1010,.452,.399,.785,30.9,19.4,5.1,5.2,evansty01
81,Jordan Farmar,2016,2016,1,12,291,42,100,16,45,10,10,4,25,37,15,2,18,22,110,.420,.356,1.000,24.3,9.2,2.1,3.1,farmajo01
82,Isaac Fontaine,2002,2002,1,6,75,3,14,1,5,4,6,0,5,4,0,0,4,6,11,.214,.200,.667,12.5,1.8,0.8,0.7,fontais01
