,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
11,Rafael Araújo,2005,2006,2,111,1337,129,320,1,4,58,83,102,329,31,45,14,94,261,317,.403,.250,.699,12.0,2.9,3.0,0.3,araujra01
12,Robert Archibald,2004,2004,1,30,246,8,30,0,0,13,27,21,50,12,13,3,9,49,29,.267,,.481,8.2,1.0,1.7,0.4,archiro01
13,Carlos Arroyo,2002,2002,1,17,96,13,29,0,0,4,6,3,12,21,6,0,12,12,30,.448,,.667,5.6,1.8,0.7,1.2,arroyca01
14,D.J. Augustin,2014,2014,1,10,82,7,24,1,11,6,6,0,4,10,1,0,9,7,21,.292,.091,1.000,8.2,2.1,0.4,1.0,augusdj01
15,Mark Baker,1999,1999,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,,,2.0,0.0,0.0,0.0,bakerla01
16,Marcus Banks,2009,2011,3,31,306,45,93,8,29,31,40,4,27,35,14,2,25,39,129,.484,.276,.775,9.9,4.2,0.9,1.1,banksma01
17,Dalano Banton,2022,2023,2,95,975,138,332,28,102,43,68,49,169,135,41,23,71,102,347,.416,.275,.632,10.3,3.7,1.8,1.4,bantoda01
18,Leandro Barbosa,2011,2012,2,100,2341,492,1107,112,324,185,228,35,178,182,86,13,152,213,1281,.444,.346,.811,23.4,12.8,1.8,1.8,barbole01
19,Andrea Bargnani,2007,2013,7,433,13130,2419,5534,579,1606,1164,1411,401,2095,544,187,382,725,1124,6581,.437,.361,.825,30.3,15.2,4.8,1.3,bargnan01
20,Scottie Barnes,2022,2023,2,151,5295,922,1948,121,417,348,461,374,1069,627,163,116,290,362,2313,.473,.290,.755,35.1,15.3,7.1,4.2,barnesc01
21,Andre Barrett,2006,2006,1,17,261,35,97,2,13,6,9,8,22,50,10,0,14,12,78,.361,.154,.667,15.4,4.6,1.3,2.9,barrean01
22,Will Barton,2023,2023,1,16,211,28,79,14,42,2,2,5,26,17,11,3,3,17,72,.354,.333,1.000,13.2,4.5,1.6,1.1,bartowi01
23,Maceo Baston,2003,2008,2,31,209,32,50,0,0,17,22,13,49,3,6,15,10,36,81,.640,,.773,6.7,2.6,1.6,0.1,bastoma01
24,Mengke Bateer,2004,2004,1,7,40,4,7,0,0,0,0,5,8,1,1,0,2,10,8,.571,,,5.7,1.1,1.1,0.1,bateeme01
25,Lonny Baxter,2004,2004,1,36,487,60,128,0,1,30,56,42,121,10,14,18,22,69,150,.469,.000,.536,13.5,4.2,3.4,0.3,baxtelo01
26,Jerryd Bayless,2011,2012,2,91,2052,318,744,90,236,228,277,32,216,356,60,8,163,203,954,.427,.381,.823,22.5,10.5,2.4,3.9,bayleje01
27,Aron Baynes,2021,2021,1,53,980,134,304,27,103,29,41,87,273,47,17,23,46,119,324,.441,.262,.707,18.5,6.1,5.2,0.9,baynear01
28,Marco Belinelli,2010,2010,1,66,1121,154,379,60,158,101,121,14,95,89,42,5,60,80,469,.406,.380,.835,17.0,7.1,1.4,1.3,belinma01
29,DeAndre' Bembry,2021,2021,1,51,972,117,228,14,53,45,66,33,146,107,53,18,71,87,293,.513,.264,.682,19.1,5.7,2.9,2.1,bembrde01
30,Benoit Benjamin,1997,1997,1,4,44,5,12,0,0,3,4,3,9,1,1,0,2,5,13,.417,,.750,11.0,3.3,2.3,0.3,benjabe01
31,Anthony Bennett,2016,2016,1,19,84,8,27,3,14,9,10,6,23,0,5,0,4,8,28,.296,.214,.900,4.4,1.5,1.2,0.0,bennean01
32,Chauncey Billups,1998,1998,1,29,920,103,295,43,136,79,86,22,77,97,30,2,56,54,328,.349,.316,.919,31.7,11.3,2.7,3.3,billuch01
33,Khem Birch,2021,2023,3,94,1730,211,403,10,47,85,120,187,408,99,51,53,58,174,517,.524,.213,.708,18.4,5.5,4.3,1.1,birchkh01
34,Bismack Biyombo,2016,2016,1,82,1808,156,288,0,1,142,226,182,655,29,19,133,71,225,454,.542,.000,.628,22.0,5.5,8.0,0.4,biyombi01
35,Corie Blount,2004,2004,1,16,294,18,47,0,0,2,3,22,69,10,11,5,8,49,38,.383,,.667,18.4,2.4,4.3,0.6,blounco01
36,Muggsy Bogues,2000,2001,2,83,1765,157,360,17,52,79,87,25,138,304,67,4,63,122,410,.436,.327,.908,21.3,4.9,1.7,3.7,boguemu01
37,Isaac Bonga,2022,2022,1,15,69,3,13,1,4,5,8,4,7,4,8,2,2,10,12,.231,.250,.625,4.6,0.8,0.5,0.3,bongais01
38,Matt Bonner,2005,2006,2,160,3263,456,930,141,335,119,147,194,569,104,88,50,72,436,1172,.490,.421,.810,20.4,7.3,3.6,0.7,bonnema01
39,Chris Bosh,2004,2010,7,509,18815,3614,7346,50,168,2997,3767,1369,4776,1115,397,600,1126,1329,10275,.492,.298,.796,37.0,20.2,9.4,2.2,boshch01
40,Chris Boucher,2019,2023,5,306,5648,992,2041,270,808,534,685,576,1652,145,159,335,164,628,2788,.486,.334,.780,18.5,9.1,5.4,0.5,bouchch01
41,Michael Bradley,2002,2004,3,98,1470,165,342,1,8,40,77,170,444,71,17,38,85,141,371,.482,.125,.519,15.0,3.8,4.5,0.7,bradlmi01
42,Primož Brezec,2008,2008,1,13,110,17,38,0,0,14,21,9,18,1,1,2,4,25,48,.447,,.667,8.5,3.7,1.4,0.1,brezepr01
43,Oshae Brissett,2020,2020,1,19,135,13,36,3,15,8,10,9,26,7,4,1,7,18,37,.361,.200,.800,7.1,1.9,1.4,0.4,brissos01
44,Armoni Brooks,2022,2022,1,13,154,11,38,10,36,2,2,8,22,13,7,3,4,14,34,.289,.278,1.000,11.8,2.6,1.7,1.0,brookar01
45,Damone Brown,2003,2003,1,5,115,11,35,0,2,6,8,3,15,3,1,0,6,14,28,.314,.000,.750,23.0,5.6,3.0,0.6,brownda02
46,Dee Brown,1998,2000,3,118,2958,417,1060,267,694,90,114,38,247,330,118,30,160,184,1191,.393,.385,.789,25.1,10.1,2.1,2.8,brownde01
47,Lorenzo Brown,2018,2019,2,40,351,37,105,8,40,5,5,6,46,41,17,5,19,29,87,.352,.200,1.000,8.8,2.2,1.2,1.0,brownlo01
48,Rick Brunson,2004,2004,1,3,10,2,4,0,0,0,0,0,0,2,0,0,0,0,4,.500,,,3.3,1.3,0.0,0.7,brunsri01
49,Rasual Butler,2012,2012,1,34,453,41,133,21,77,7,12,6,66,19,7,5,15,39,110,.308,.273,.583,13.3,3.2,1.9,0.6,butlera01
50,Dwight Buycks,2014,2014,1,14,146,15,48,5,17,8,9,4,23,10,8,0,10,11,43,.313,.294,.889,10.4,3.1,1.6,0.7,buyckdw01
51,Bruno Caboclo,2015,2018,4,25,113,11,42,5,18,0,0,7,15,6,5,3,10,10,27,.262,.278,,4.5,1.1,0.6,0.2,cabocbr01
52,José Calderón,2006,2013,8,525,14909,2023,4207,456,1174,733,836,187,1315,3770,469,45,906,907,5235,.481,.388,.877,28.4,10.0,2.5,7.2,caldejo01
53,Marcus Camby,1997,1998,2,126,3899,683,1525,2,16,332,508,334,860,208,134,360,268,414,1700,.448,.125,.654,30.9,13.5,6.8,1.7,cambyma01
54,DeMarre Carroll,2016,2017,2,98,2668,325,820,155,438,119,167,94,397,101,125,33,82,206,924,.396,.354,.713,27.2,9.4,4.1,1.0,carrode01
