,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
242,Kurt Thomas,1996,1997,2,92,2029,313,652,0,3,153,224,153,546,55,59,45,123,338,779,.480,.000,.683,22.1,8.5,5.9,0.6,thomaku01
243,Billy Thompson,1989,1991,3,231,5896,929,1854,2,12,360,533,599,1435,453,142,242,462,658,2220,.501,.167,.675,25.5,9.6,6.2,2.0,thompbi01
244,Otis Thorpe,2000,2000,1,51,777,125,243,0,3,29,48,56,166,33,26,9,59,136,279,.514,.000,.604,15.2,5.5,3.3,0.6,thorpot01
245,P.J. Tucker,2022,2022,1,71,1981,207,428,80,193,45,61,100,387,149,58,15,66,161,539,.484,.415,.738,27.9,7.6,5.5,2.1,tuckepj01
246,Ronny Turiaf,2012,2012,1,13,221,16,30,0,1,13,22,19,58,5,8,14,8,32,45,.533,.000,.591,17.0,3.5,4.5,0.4,turiaro01
247,Beno Udrih,2016,2016,1,36,587,66,152,11,33,15,17,6,63,90,11,0,42,40,158,.434,.333,.882,16.3,4.4,1.8,2.5,udrihbe01
248,Kelvin Upshaw,1989,1989,1,9,144,26,63,1,5,4,6,4,13,20,7,0,13,18,57,.413,.200,.667,16.0,6.3,1.4,2.2,upshake01
249,Jarvis Varnado,2013,2013,1,8,40,1,3,0,0,0,0,1,6,2,0,2,5,9,2,.333,,,5.0,0.3,0.8,0.3,varnaja01
250,Gabe Vincent,2020,2023,4,195,4086,538,1350,288,849,132,155,59,332,450,150,19,225,397,1496,.399,.339,.852,21.0,7.7,1.7,2.3,vincega01
251,Dwyane Wade,2004,2019,15,948,32912,7842,16227,481,1659,5391,7048,1156,4482,5310,1492,812,3096,2132,21556,.483,.290,.765,34.7,22.7,4.7,5.6,wadedw01
252,Milt Wagner,1991,1991,1,13,116,24,57,6,17,9,11,0,7,15,2,3,12,14,63,.421,.353,.818,8.9,4.8,0.5,1.2,wagnemi01
253,Dion Waiters,2017,2020,4,123,3482,652,1577,254,691,155,241,33,357,437,94,40,240,233,1713,.413,.368,.643,28.3,13.9,2.9,3.6,waitedi01
254,Antoine Walker,2006,2007,2,160,4017,656,1566,221,688,127,234,195,760,296,95,47,291,360,1660,.419,.321,.543,25.1,10.4,4.8,1.9,walkean02
255,Henry Walker,2015,2015,1,24,628,58,168,45,132,14,18,7,82,29,24,9,24,76,175,.345,.341,.778,26.2,7.3,3.4,1.2,walkebi01
256,Samaki Walker,2004,2004,1,33,418,38,99,0,2,29,44,42,112,6,9,11,15,54,105,.384,.000,.659,12.7,3.2,3.4,0.2,walkesa01
257,John Wallace,2004,2004,1,37,368,61,145,5,13,31,40,12,59,14,5,8,24,38,158,.421,.385,.775,9.9,4.3,1.6,0.4,wallajo01
258,Matt Walsh,2006,2006,1,2,3,1,1,0,0,0,2,0,0,0,0,0,1,0,2,1.000,,.000,1.5,1.0,0.0,0.0,walshma01
259,Rex Walters,1998,2000,3,85,1003,86,210,20,66,40,50,20,101,137,19,4,71,118,232,.410,.303,.800,11.8,2.7,1.2,1.6,waltere01
260,Derrick Walton,2018,2018,1,16,147,8,25,7,17,6,6,2,16,16,7,3,2,7,29,.320,.412,1.000,9.2,1.8,1.0,1.0,waltode01
261,Pearl Washington,1989,1989,1,54,1065,164,387,1,14,82,104,49,123,226,73,4,122,101,411,.424,.071,.788,19.7,7.6,2.3,4.2,washipe01
262,Jamie Watson,1999,1999,1,3,18,1,2,0,0,0,0,0,1,1,0,0,1,1,2,.500,,,6.0,0.7,0.3,0.3,watsoja01
263,Clarence Weatherspoon,1999,2000,2,127,2655,356,683,0,0,250,326,200,692,127,79,66,161,272,962,.521,,.767,20.9,7.6,5.4,1.0,weathcl01
264,Briante Weber,2016,2016,1,1,3,1,1,0,0,0,0,0,1,1,0,0,0,1,2,1.000,,,3.0,2.0,1.0,1.0,weberbr01
265,Clinton Wheeler,1989,1989,1,8,143,24,42,0,0,8,10,5,12,21,8,0,6,9,56,.571,,.800,17.9,7.0,1.5,2.6,wheelcl01
266,Okaro White,2017,2018,2,41,551,40,103,16,45,22,25,28,93,23,11,11,19,58,118,.388,.356,.880,13.4,2.9,2.3,0.6,whiteok01
267,Hassan Whiteside,2015,2019,5,324,8818,1898,3300,4,18,754,1268,1107,3870,203,211,783,538,879,4554,.575,.222,.595,27.2,14.1,11.9,0.6,whiteha01
268,Morlon Wiley,1994,1994,1,4,34,3,8,1,4,0,0,0,4,7,2,0,6,4,7,.375,.250,,8.5,1.8,1.0,1.8,wileymo01
269,Derrick Williams,2017,2017,1,25,377,54,137,9,45,31,50,16,73,14,9,5,14,33,148,.394,.200,.620,15.1,5.9,2.9,0.6,willide02
270,Jason Williams,2006,2008,3,187,5625,714,1725,304,858,248,281,36,410,916,194,11,291,262,1980,.414,.354,.883,30.1,10.6,2.2,4.9,willija02
271,Matt Williams,2018,2018,1,3,11,2,6,1,5,0,0,0,1,0,0,0,1,1,5,.333,.200,,3.7,1.7,0.3,0.0,willima05
272,Shawne Williams,2015,2015,1,44,924,102,240,60,152,28,33,27,139,36,21,17,23,116,292,.425,.395,.848,21.0,6.6,3.2,0.8,willish03
273,Walt Williams,1996,1996,1,28,788,124,268,56,123,33,60,37,112,65,32,16,48,87,337,.463,.455,.550,28.1,12.0,4.0,2.3,williwa02
274,Kevin Willis,1995,1996,2,112,3658,652,1386,3,19,284,407,351,1116,117,78,58,254,366,1591,.470,.158,.698,32.7,14.2,10.0,1.0,willike02
275,Justise Winslow,2016,2020,5,241,6848,856,2053,190,563,279,432,247,1295,657,227,89,371,591,2181,.417,.337,.646,28.4,9.0,5.4,2.7,winslju01
276,Loren Woods,2004,2004,1,38,506,44,96,0,0,33,55,65,134,10,11,19,26,52,121,.458,,.600,13.3,3.2,3.5,0.3,woodslo01
277,Qyntel Woods,2005,2005,1,3,40,5,12,0,0,0,0,2,6,0,4,0,2,6,10,.417,,,13.3,3.3,2.0,0.0,woodsqy01
278,Dorell Wright,2005,2010,6,211,4124,530,1150,73,212,200,248,142,780,259,131,120,170,307,1333,.461,.344,.806,19.5,6.3,3.7,1.2,wrighdo01
279,Omer Yurtseven,2022,2023,2,65,789,146,274,4,18,43,67,93,317,51,19,22,45,100,339,.533,.222,.642,12.1,5.2,4.9,0.8,yurtsom01
280,Cody Zeller,2023,2023,1,15,217,37,59,0,2,24,35,25,64,10,3,4,14,33,98,.627,.000,.686,14.5,6.5,4.3,0.7,zelleco01
281,Wang Zhizhi,2004,2005,2,34,197,34,81,6,17,12,18,10,32,7,6,6,11,22,86,.420,.353,.667,5.8,2.5,0.9,0.2,zhizhwa01
