,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
72,Lester Conner,1991,1992,2,120,1939,141,335,0,10,120,167,73,239,401,145,11,110,123,402,.421,.000,.719,16.2,3.4,2.0,3.3,connele01
73,Anthony Cook,1994,1994,1,23,201,26,53,0,1,10,25,20,56,4,3,12,11,22,62,.491,.000,.400,8.7,2.7,2.4,0.2,cookan01
74,Chris Copeland,2016,2016,1,24,156,17,51,10,36,6,7,1,10,11,2,0,6,17,50,.333,.278,.857,6.5,2.1,0.4,0.5,copelch01
75,Joe Courtney,1994,1994,1,19,177,27,70,2,3,9,15,14,29,6,7,6,11,21,65,.386,.667,.600,9.3,3.4,1.5,0.3,courtjo01
76,DeMarcus Cousins,2022,2022,1,17,287,55,118,13,48,31,38,24,98,18,16,8,16,46,154,.466,.271,.816,16.9,9.1,5.8,1.1,couside01
77,Dave Cowens,1983,1983,1,40,1014,136,306,0,2,52,63,73,274,82,30,15,44,137,324,.444,.000,.825,25.4,8.1,6.9,2.1,cowenda01
78,Torrey Craig,2021,2021,1,18,201,18,46,8,22,1,2,13,43,16,9,7,5,24,45,.391,.364,.500,11.2,2.5,2.4,0.9,craigto01
79,Freddie Crawford,1970,1970,1,77,1331,243,506,,,101,148,,184,225,,,,181,587,.480,,.682,17.3,7.6,2.4,2.9,crawffr01
80,Charlie Criss,1983,1984,2,72,1029,180,405,7,37,75,87,16,88,144,32,0,48,51,442,.444,.189,.862,14.3,6.1,1.2,2.0,crissch01
81,Geoff Crompton,1982,1982,1,35,203,11,32,0,0,6,15,10,41,13,6,12,17,39,28,.344,,.400,5.8,0.8,1.2,0.4,crompge01
82,Austin Croshere,2009,2009,1,11,77,12,30,5,11,7,11,7,24,6,1,1,4,4,36,.400,.455,.636,7.0,3.3,2.2,0.5,croshau01
83,Jae Crowder,2023,2023,1,18,340,45,94,24,55,10,12,17,69,27,12,6,7,27,124,.479,.436,.833,18.9,6.9,3.8,1.5,crowdja01
84,Pat Cummings,1980,1982,3,223,3116,654,1260,0,4,260,354,239,775,214,75,45,296,560,1568,.519,.000,.734,14.0,7.0,3.5,1.0,cummipa01
85,Terry Cummings,1985,1996,6,480,15391,3844,7935,9,31,1593,2269,1307,3758,1118,607,347,993,1645,9290,.484,.290,.702,32.1,19.4,7.8,2.3,cummite01
86,Dick Cunningham,1969,1975,6,295,3072,341,830,,,159,255,1,1081,164,2,2,,426,841,.411,,.624,10.4,2.9,3.7,0.6,cunnidi01
87,Jared Cunningham,2016,2016,1,4,55,4,14,2,7,6,7,0,9,1,2,0,3,4,16,.286,.286,.857,13.8,4.0,2.3,0.3,cunnija01
88,Dell Curry,1999,1999,1,42,864,163,336,69,145,28,34,18,85,48,36,3,45,42,423,.485,.476,.824,20.6,10.1,2.0,1.1,curryde01
89,Michael Curry,1998,1999,2,132,3124,286,624,5,24,210,255,45,206,215,98,21,114,353,787,.458,.208,.824,23.7,6.0,1.6,1.6,currymi01
90,Samuel Dalembert,2013,2013,1,47,765,137,253,1,1,38,55,105,276,21,17,53,51,90,313,.542,1.000,.691,16.3,6.7,5.9,0.4,dalemsa01
91,Bob Dandridge,1970,1982,9,618,22094,4826,9901,0,0,1826,2371,580,4497,1956,444,157,11,2253,11478,.487,,.770,35.8,18.6,7.3,3.2,dandrbo01
92,Marquis Daniels,2013,2013,1,59,1085,132,351,20,72,40,54,48,150,65,51,10,45,77,324,.376,.278,.741,18.4,5.5,2.5,1.1,daniema01
93,Adrian Dantley,1991,1991,1,10,126,19,50,1,3,18,26,8,13,9,5,0,6,8,57,.380,.333,.692,12.6,5.7,1.3,0.9,dantlad01
94,Charles Davis,1985,1988,3,119,1658,345,761,4,36,109,133,118,322,108,49,13,107,227,803,.453,.111,.820,13.9,6.7,2.7,0.9,davisch02
