,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
130,Tyus Edney,1996,1997,2,150,3857,455,1131,61,186,374,467,97,314,717,149,5,304,301,1345,.402,.328,.801,25.7,9.0,2.1,4.8,edneyty01
131,Franklin Edwards,1987,1988,2,24,536,63,147,0,6,34,46,6,29,121,15,1,64,17,160,.429,.000,.739,22.3,6.7,1.2,5.0,edwarfr01
132,Kessler Edwards,2023,2023,1,22,306,30,69,15,43,10,13,17,47,21,11,5,9,37,85,.435,.349,.769,13.9,3.9,2.1,1.0,edwarke02
133,Keon Ellis,2023,2023,1,16,71,7,16,6,12,4,7,4,8,6,5,1,1,10,24,.438,.500,.571,4.4,1.5,0.5,0.4,elliske01
134,Pervis Ellison,1990,1990,1,34,866,111,251,0,2,49,78,64,196,65,16,57,62,132,271,.442,.000,.628,25.5,8.0,5.8,1.9,ellispe01
135,Len Elmore,1980,1980,1,58,915,104,242,0,0,51,74,74,257,64,41,39,67,154,259,.430,,.689,15.8,4.5,4.4,1.1,elmorle01
136,Wayne Embry,1959,1966,8,603,17591,3271,7331,,,1944,3022,,6257,951,,,,2225,8486,.446,,.643,29.2,14.1,10.4,1.6,embrywa01
137,Maurice Evans,2005,2005,1,65,1233,165,373,27,82,59,78,88,201,45,37,8,34,104,416,.442,.329,.756,19.0,6.4,3.1,0.7,evansma01
138,Reggie Evans,2014,2015,2,71,1264,106,228,0,2,97,162,159,484,48,46,6,75,156,309,.465,.000,.599,17.8,4.4,6.8,0.7,evansre01
139,Tyreke Evans,2010,2017,5,271,9276,1748,3906,165,569,988,1294,239,1282,1278,380,117,721,635,4649,.448,.290,.764,34.2,17.2,4.7,4.7,evansty01
140,Jordan Farmar,2017,2017,1,2,35,4,12,4,9,0,0,1,3,9,2,0,3,1,12,.333,.444,,17.5,6.0,1.5,4.5,farmajo01
141,Mike Farmer,1961,1961,1,57,1295,180,460,,,69,94,,378,81,,,,128,429,.391,,.734,22.7,7.5,6.6,1.4,farmemi01
142,Yogi Ferrell,2019,2020,2,121,1597,232,540,78,228,96,109,19,158,206,54,8,68,102,638,.430,.342,.881,13.2,5.3,1.3,1.7,ferreyo01
143,Bob Fitzgerald,1949,1949,1,18,,6,29,,,7,10,,,12,,,,26,19,.207,,.700,,1.1,,0.7,fitzgbo01
144,Ed Fleming,1956,1957,2,122,2955,415,1188,,,416,563,,672,278,,,,272,1246,.349,,.739,24.2,10.2,5.5,2.3,flemied01
145,Phil Ford,1979,1982,4,299,9583,1665,3598,22,91,1102,1344,112,587,2322,472,17,1040,803,4454,.463,,.820,32.1,14.9,2.0,7.8,fordph01
146,Fred Foster,1969,1971,3,131,2595,538,1227,,,220,312,,375,143,,,,260,1296,.438,,.705,19.8,9.9,2.9,1.1,fostefr01
147,De'Aaron Fox,2018,2023,6,395,12760,2951,6247,483,1506,1589,2159,209,1444,2452,515,165,1081,1026,7974,.472,.321,.736,32.3,20.2,3.7,6.2,foxde01
148,Jim Fox,1968,1972,2,102,2291,366,814,,,243,325,,754,92,,,,270,975,.450,,.748,22.5,9.6,7.4,0.9,foxji01
149,Anthony Frederick,1991,1991,1,35,475,67,168,0,0,43,60,36,84,44,22,13,40,50,177,.399,,.717,13.6,5.1,2.4,1.3,fredean01
150,Jimmer Fredette,2012,2014,3,171,2565,438,1053,179,445,142,166,43,189,261,75,9,179,165,1197,.416,.402,.855,15.0,7.0,1.1,1.5,fredeji01
151,Pat Frink,1969,1969,1,48,363,50,147,,,23,29,,41,55,,,,54,123,.340,,.793,7.6,2.6,0.9,1.1,frinkpa01
152,Lawrence Funderburke,1998,2003,6,316,4705,809,1600,2,17,402,595,446,1139,183,94,100,225,358,2022,.506,.118,.676,14.9,6.4,3.6,0.6,fundela01
153,Wenyen Gabriel,2020,2020,1,11,61,6,17,1,8,6,10,4,10,3,3,2,5,7,19,.353,.125,.600,5.5,1.7,0.9,0.3,gabriwe01
154,Langston Galloway,2017,2017,1,19,375,42,104,19,40,11,12,7,35,28,6,1,18,20,114,.404,.475,.917,19.7,6.0,1.8,1.5,gallola01
155,Dave Gambee,1960,1960,1,19,211,36,93,,,23,35,,74,9,,,,21,95,.387,,.657,11.1,5.0,3.9,0.5,gambeda01
156,Kevin Gamble,1996,1997,2,83,1245,158,368,60,135,12,20,20,134,95,25,20,38,104,388,.429,.444,.600,15.0,4.7,1.6,1.1,gamblke01
157,Francisco García,2006,2013,8,462,10251,1388,3207,475,1319,597,738,253,1238,649,391,343,493,1067,3848,.433,.360,.809,22.2,8.3,2.7,1.4,garcifr01
158,Rudy Gay,2014,2017,4,223,7692,1582,3409,238,686,903,1084,320,1349,622,282,151,561,544,4305,.464,.347,.833,34.5,19.3,6.0,2.8,gayru01
