,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
198,Buck Johnson,1987,1992,6,432,10562,1729,3539,7,59,674,912,545,1565,767,368,234,594,1216,4139,.489,.119,.739,24.4,9.6,3.6,1.8,johnsbu01
199,Eddie Johnson,1997,1999,3,102,2115,334,783,106,302,148,177,74,253,124,42,4,94,140,922,.427,.351,.836,20.7,9.0,2.5,1.2,johnsed03
200,Frank Johnson,1989,1989,1,67,879,109,246,1,6,75,93,22,79,181,42,0,102,91,294,.443,.167,.806,13.1,4.4,1.2,2.7,johnsfr01
201,George Johnson,1973,1974,2,45,407,43,90,,,11,21,20,106,12,8,8,,79,97,.478,,.524,9.0,2.2,2.4,0.3,johnsge01
202,Joe Johnson,2018,2018,1,23,505,51,134,17,61,20,21,2,65,38,6,1,18,35,139,.381,.279,.952,22.0,6.0,2.8,1.7,johnsjo02
203,John Johnson,1976,1978,3,147,3234,595,1309,,,193,263,158,561,361,97,52,3,365,1383,.455,,.734,22.0,9.4,3.8,2.5,johnsjo01
204,Lee Johnson,1981,1981,1,10,80,7,23,0,0,3,5,6,20,1,0,5,7,17,17,.304,,.600,8.0,1.7,2.0,0.1,johnsle01
205,Nick Johnson,2015,2015,1,28,262,26,75,5,21,17,25,13,39,11,7,3,19,34,74,.347,.238,.680,9.4,2.6,1.4,0.4,johnsni01
206,Bobby Jones,2008,2008,1,4,9,2,4,0,0,0,0,0,1,0,1,0,1,3,4,.500,,,2.3,1.0,0.3,0.0,jonesbo02
207,Caldwell Jones,1983,1984,2,163,4946,625,1310,1,5,326,402,390,1250,294,92,211,329,613,1577,.477,.200,.811,30.3,9.7,7.7,1.8,jonesca01
208,Charles Jones,1995,1998,4,85,553,16,37,0,0,6,17,47,118,20,8,35,7,82,38,.432,,.353,6.5,0.4,1.4,0.2,jonesch01
209,Dwight Jones,1977,1980,4,258,5208,744,1629,0,0,405,527,454,1325,225,153,89,287,692,1893,.457,,.769,20.2,7.3,5.1,0.9,jonesdw01
210,Major Jones,1980,1984,5,327,4645,630,1298,1,9,253,437,470,1195,200,124,155,332,565,1514,.485,.111,.579,14.2,4.6,3.7,0.6,jonesma01
211,Mason Jones,2021,2021,1,26,307,47,114,23,64,35,57,4,51,39,6,1,28,22,152,.412,.359,.614,11.8,5.8,2.0,1.5,jonesma05
212,Nick Jones,1968,1968,1,42,603,86,232,,,55,69,,67,89,,,,84,227,.371,,.797,14.4,5.4,1.6,2.1,jonesni01
213,Robin Jones,1978,1978,1,12,66,11,20,,,4,10,5,14,2,1,1,7,16,26,.550,,.400,5.5,2.2,1.2,0.2,jonesro01
