,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
47,Tyson Chandler,2010,2010,1,51,1163,109,190,0,0,115,157,114,320,16,17,55,91,138,333,.574,,.732,22.8,6.5,6.3,0.3,chandty01
48,Rex Chapman,1989,1992,4,220,6626,1421,3357,163,508,569,722,180,611,644,203,55,386,494,3574,.423,.321,.788,30.1,16.2,2.8,2.9,chapmre01
49,Joe Chealey,2019,2020,2,5,41,1,10,0,4,2,2,0,0,2,4,0,2,3,4,.100,.000,1.000,8.2,0.8,0.0,0.4,chealjo01
50,Derrick Coleman,1999,2001,3,145,4208,711,1640,78,225,502,659,246,1144,292,68,193,305,344,2002,.434,.347,.762,29.0,13.8,7.9,2.0,colemde01
51,Sherron Collins,2011,2011,1,20,66,7,25,2,10,1,1,0,5,8,2,0,4,2,17,.280,.200,1.000,3.3,0.9,0.3,0.4,collish01
52,Marty Conlon,1994,1994,1,16,378,66,109,0,1,31,38,34,89,28,5,7,23,36,163,.606,.000,.816,23.6,10.2,5.6,1.8,conloma01
53,Dante Cunningham,2011,2011,1,22,529,92,181,1,9,13,17,23,88,13,15,11,18,38,198,.508,.111,.765,24.0,9.0,4.0,0.6,cunnida01
54,Earl Cureton,1989,1991,2,91,2206,241,489,0,2,67,126,194,524,133,50,64,120,246,549,.493,.000,.532,24.2,6.0,5.8,1.5,curetea01
55,Dell Curry,1989,1998,10,701,17613,3951,8559,929,2294,1008,1183,458,2022,1429,747,186,982,1357,9839,.462,.405,.852,25.1,14.0,2.9,2.0,curryde01
56,Troy Daniels,2015,2016,2,54,611,116,246,76,158,11,16,9,65,26,14,4,31,52,319,.472,.481,.688,11.3,5.9,1.2,0.5,danietr01
