,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
94,Glen Davis,2014,2015,2,97,1212,156,336,0,5,78,118,64,238,46,53,28,56,180,390,.464,.000,.661,12.5,4.0,2.5,0.5,davisgl01
95,Mike Davis,1971,1972,2,135,2685,530,1275,,,337,442,,307,235,,,,361,1397,.416,,.762,19.9,10.3,2.3,1.7,davismi01
96,Paul Davis,2007,2009,3,80,694,86,215,0,1,40,54,74,158,29,22,14,30,105,212,.400,.000,.741,8.7,2.7,2.0,0.4,davispa01
97,Ricky Davis,2009,2010,2,72,1284,145,388,51,153,49,67,19,117,121,30,8,68,102,390,.374,.333,.731,17.8,5.4,1.6,1.7,davisri01
98,Ron Davis,1981,1982,2,71,884,149,339,2,8,97,164,54,132,51,36,11,66,106,397,.440,.250,.591,12.5,5.6,1.9,0.7,davisro01
99,Branden Dawson,2016,2016,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,.400,,1.000,4.8,0.8,0.7,0.0,dawsobr01
100,Terry Dehere,1994,1997,4,299,5604,871,2096,262,696,659,848,116,458,811,154,29,505,650,2663,.416,.376,.777,18.7,8.9,1.5,2.7,deherte01
101,Sam Dekker,2018,2018,1,73,883,128,259,10,60,37,56,44,174,38,24,9,33,71,303,.494,.167,.661,12.1,4.2,2.4,0.5,dekkesa01
102,Bison Dele,1996,1996,1,65,2157,416,766,1,6,196,267,149,492,122,70,55,190,226,1029,.543,.167,.734,33.2,15.8,7.6,1.9,delebi01
103,Ángel Delgado,2019,2019,1,2,15,1,5,0,0,1,2,2,4,0,1,0,0,2,3,.200,,.500,7.5,1.5,2.0,0.0,delgaan01
104,Moussa Diabaté,2023,2023,1,22,195,24,47,1,2,10,16,31,50,4,7,8,9,15,59,.511,.500,.625,8.9,2.7,2.3,0.2,diabamo01
105,Guillermo Díaz,2008,2008,1,6,18,1,4,0,1,3,5,2,2,1,0,0,0,0,5,.250,.000,.600,3.0,0.8,0.3,0.2,diazgu01
106,Dan Dickau,2008,2008,1,67,1040,124,296,36,108,68,82,13,97,172,32,3,55,108,352,.419,.333,.829,15.5,5.3,1.4,2.6,dickada01
107,Ernie DiGregorio,1974,1977,4,260,7253,1180,2843,,,433,478,121,560,1457,172,13,,612,2793,.415,,.906,27.9,10.7,2.2,5.6,digreer01
108,Ike Diogu,2011,2011,1,36,470,83,148,0,0,41,62,41,115,2,3,3,22,72,207,.561,,.661,13.1,5.8,3.2,0.1,dioguik01
109,James Donaldson,1984,1986,3,178,5358,754,1239,0,0,533,700,361,1448,150,73,298,415,464,2041,.609,,.761,30.1,11.5,8.1,0.8,donalja01
110,Keyon Dooling,2001,2004,4,203,3498,435,1100,90,279,257,342,34,243,408,114,26,229,328,1217,.395,.323,.751,17.2,6.0,1.2,2.0,doolike01
111,John Douglas,1982,1983,2,67,1043,182,395,19,61,69,104,27,91,147,48,9,92,147,452,.461,.311,.663,15.6,6.7,1.4,2.2,dougljo01
