Player\Team,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
Chris Andersen,#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,9,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Odis Allison,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carmelo Anthony,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,#N/A,#N/A,15,#N/A,#N/A,7,#N/A,#N/A,#N/A,#N/A,#N/A,14,10,#N/A,#N/A,#N/A,14,#N/A,#N/A,#N/A,#N/A,#N/A
Kyle Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,#N/A,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A,#N/A,#N/A
Ryan Anderson,#N/A,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,12,#N/A,#N/A,10,#N/A,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cliff Alexander,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A,#N/A,#N/A,#N/A,#N/A
David Andersen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A,#N/A
Pero Antić,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greg Anthony,#N/A,#N/A,#N/A,#N/A,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,15,#N/A,#N/A,15,11,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A
Trevor Ariza,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16,#N/A,#N/A,8,#N/A,15,#N/A,#N/A,13,17,#N/A,16,#N/A,9,17,19,#N/A,#N/A,#N/A,10
William Avery,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bob Anderegg,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Antonio Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
J.J. Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A
Robert Archibald,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,8,#N/A,#N/A,#N/A,12,#N/A,#N/A
Michael Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,#N/A,#N/A,#N/A
Ron Anderson,#N/A,13,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8
Stacey Arceneaux,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ryan Arcidiacono,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16,#N/A,#N/A,#N/A,#N/A,16,#N/A,#N/A,#N/A,#N/A,#N/A
Joel Anthony,#N/A,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,#N/A,#N/A
Gilbert Arenas,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9
Chucky Atkins,#N/A,#N/A,14,#N/A,#N/A,#N/A,#N/A,19,14,#N/A,#N/A,#N/A,#N/A,9,16,#N/A,#N/A,#N/A,#N/A,#N/A,13,21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12
Thurl Bailey,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,#N/A
Eric Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nick Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,16,#N/A,#N/A,#N/A,#N/A
Dan Anderson,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,#N/A,#N/A,#N/A,#N/A,#N/A
Willie Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,9,#N/A,#N/A
Hilton Armstrong,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21,#N/A,#N/A,#N/A,11
Richard Anderson,#N/A,#N/A,#N/A,10,#N/A,#N/A,#N/A,14,#N/A,#N/A,12,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A
Jim Ard,#N/A,16,12,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Darrell Allums,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Curly Armstrong,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Paul Arizin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ike Anigbogu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
D.J. Augustin,#N/A,#N/A,#N/A,14,14,#N/A,#N/A,20,16,#N/A,19,14,#N/A,10,#N/A,#N/A,18,#N/A,#N/A,#N/A,14,23,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,#N/A
Marcus Banks,#N/A,#N/A,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,#N/A,#N/A,16,#N/A,#N/A
Shandon Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A
Dennis Awtrey,#N/A,#N/A,15,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,#N/A,15,10,20,#N/A,#N/A,#N/A,#N/A,#N/A
OG Anunoby,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,#N/A,#N/A
Stacey Augmon,11,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,#N/A,#N/A,22,#N/A,#N/A,19,#N/A,#N/A,#N/A,#N/A,#N/A
Tiny Archibald,#N/A,15,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,#N/A,#N/A,#N/A,#N/A
Michael Ansley,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
B.J. Armstrong,#N/A,#N/A,#N/A,12,11,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jesse Arnelle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Darrell Armstrong,#N/A,18,#N/A,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,#N/A,18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Isaac Austin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,17,18,#N/A,#N/A,#N/A,#N/A,#N/A,25,14,#N/A,#N/A,#N/A,#N/A,#N/A,13,13
Lonzo Ball,#N/A,#N/A,#N/A,#N/A,18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
J.J. Barea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Deandre Ayton,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bird Averitt,#N/A,22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,#N/A,#N/A,#N/A
Rafael Araújo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,11,#N/A
Gustavo Ayón,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,#N/A,18,#N/A,#N/A,27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tate Armstrong,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Martynas Andriuškevičius,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dwight Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carlos Arroyo,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,16,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16,#N/A,#N/A,#N/A,#N/A,#N/A,19,#N/A,#N/A,#N/A,#N/A,#N/A,13,12,#N/A
Bob Armstrong,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bob Arnzen,#N/A,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23,#N/A,#N/A,#N/A,#N/A
Anthony Avent,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,18,#N/A,19,#N/A,#N/A,#N/A,#N/A,26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A
Mo Bamba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Keita Bates-Diop,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,#N/A,#N/A,#N/A
Don Anielak,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Vincent Askew,#N/A,20,#N/A,#N/A,#N/A,#N/A,#N/A,18,#N/A,14,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,13,#N/A,18,24,#N/A,#N/A,#N/A,#N/A
Cole Anthony,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
James Bailey,#N/A,24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,16,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kim Anderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,#N/A,#N/A,#N/A,#N/A,#N/A
Jeff Ayres,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21,#N/A,12,#N/A,#N/A,#N/A
Luke Babbitt,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,#N/A,#N/A,19,#N/A,#N/A,#N/A,#N/A,#N/A,22,#N/A,#N/A,#N/A,#N/A,#N/A
Ömer Aşık,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Miloš Babić,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dick Atha,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jim Barnes,#N/A,#N/A,24,#N/A,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20
Giannis Antetokounmpo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jerryd Bayless,#N/A,#N/A,32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24,#N/A,24,13,23,#N/A,#N/A,#N/A,25,#N/A,32,#N/A,#N/A,26,#N/A,#N/A
Thanasis Antetokounmpo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Keith Appling,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Toby Bailey,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Randy Allen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A,#N/A
Gene Banks,#N/A,#N/A,#N/A,#N/A,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13,#N/A,#N/A,#N/A
John Bagley,14,23,18,#N/A,#N/A,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Matt Barnes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21,#N/A,#N/A,20,14,21,#N/A,#N/A,#N/A,#N/A,28,#N/A,31,18,18,#N/A,27,#N/A,#N/A,#N/A,#N/A
Malik Beasley,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29,#N/A,#N/A,#N/A,#N/A,#N/A,22,#N/A,#N/A,#N/A,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,#N/A
Peter Aluma,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,#N/A,#N/A,#N/A
Steve Bardo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,#N/A,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,#N/A,#N/A,#N/A
Johnny Austin,#N/A,21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14
Cat Barber,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dwayne Bacon,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tony Battie,#N/A,29,30,#N/A,#N/A,15,#N/A,27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34,24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Al Attles,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Maurice Baker,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24,#N/A,#N/A,#N/A,#N/A,#N/A
Dick Barnett,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,29,#N/A,#N/A,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Darrell Arthur,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Michael Beasley,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34,#N/A,#N/A,23,#N/A,26,25,15,#N/A,35,#N/A,#N/A,#N/A,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
